season,team,date,time,roof,surface,attendance,temp(f),humidity (%),wind(mph),home,wins,losses,predictedToWin,points,pointsGivenUp,possessionTime,firstDowns,3rdDownConv%,4thDownAtt,4thDownConv%,yards,yardsGivenUp,turnovers,rushAtt,rushYds,rushTDs,passAtt,cmp%,passYds,passTDs,passINTs,sacks,allowedSacks,fumbleRec,penalties,opponent,oppWins,oppLosses,oppPoints,oppPointsGivenUp,oppPossessionTime,oppFirstDowns,opp3rdDownConv%,opp4thDownAtt,opp4thDownConv%,oppYards,oppYardsGivenUp,oppTurnovers,oppRushAtt,oppRushYds,oppRushTDs,oppPassAtt,oppCmp%,oppPassYds,oppPassTDs,oppPassINTs,oppSacks,oppAllowedSacks,oppFumbleRec,oppPenalties,win
2021,IND,2021-09-12,01:00:00,dome,turf,63347,,,,True,0,0,False,26.62,20.88,1929,20.31,40.13,1.75,63.78,336.75,331.94,1.12,29.56,151.06,1.31,30.38,61.10,199.12,1.56,0.50,1.94,1.88,0.81,4.44,SEA,0,0,23.00,20.67,1531,17.80,37.76,0.73,30.00,320.00,371.20,0.80,24.53,123.53,1.00,28.80,64.81,217.53,1.80,0.47,2.00,2.53,0.33,5.40,False
2021,JAX,2021-09-12,01:00:00,dome,turf,68105,,,,False,0,0,True,14.88,26.88,1642,17.88,35.33,1.82,67.22,305.35,353.06,1.71,23.06,103.24,0.76,35.53,60.27,216.12,0.71,1.00,1.88,1.88,0.12,6.12,HOU,0,0,16.47,26.59,1699,15.65,37.47,1.24,45.83,278.06,384.41,1.29,24.71,83.65,0.47,32.12,64.40,213.53,1.24,0.88,1.88,2.59,0.47,6.71,False
2021,KAN,2021-09-12,04:25:00,outdoors,grass,72973,88,43,8,True,0,0,True,29.00,21.39,1855,24.72,51.85,0.83,62.96,401.33,362.72,1.50,25.17,114.50,0.89,39.72,67.88,296.83,2.39,0.78,1.83,1.72,0.83,6.33,CLE,0,0,20.53,21.82,1839,20.12,38.28,1.71,42.31,340.65,311.53,1.29,28.53,145.35,1.18,30.59,62.83,212.88,1.24,0.82,2.53,2.88,0.35,6.59,True
2021,LAC,2021-09-12,01:00:00,outdoors,grass,52753,81,49,4,False,0,0,False,27.88,27.00,1771,23.59,45.10,2.00,70.57,390.24,360.12,1.29,24.88,107.88,1.06,39.65,66.37,294.94,2.24,0.88,2.06,1.82,0.59,6.82,WAS,0,0,19.71,25.53,1843,20.29,38.05,1.88,55.22,323.65,359.29,1.41,28.06,121.24,0.76,32.35,64.49,220.35,1.24,0.88,2.24,2.53,0.47,4.82,True
2021,LAR,2021-09-12,08:20:00,dome,turf,70445,,,,True,0,0,True,27.20,21.35,1798,21.00,43.39,1.00,47.92,376.20,334.35,1.40,25.85,98.30,0.60,35.40,68.29,291.90,2.35,0.95,2.75,1.80,0.35,4.40,CHI,0,0,18.29,23.94,1820,19.59,33.35,2.12,40.95,307.35,316.71,1.71,27.94,118.71,0.82,31.88,60.37,213.82,0.94,1.18,2.88,3.41,0.47,6.24,True
2021,MIA,2021-09-12,04:25:00,outdoors,turf,65878,81,58,15,False,0,0,False,20.06,21.94,1831,19.12,40.07,1.29,58.33,307.41,337.53,1.53,26.00,92.24,0.71,36.18,65.97,231.53,1.24,0.82,2.82,2.35,0.71,6.18,NWE,0,0,26.47,18.53,1845,21.47,44.34,1.24,66.67,351.65,305.82,1.35,28.35,132.56,1.38,32.47,68.28,241.24,1.41,0.82,2.12,1.71,0.35,5.59,True
2021,NOR,2021-09-12,04:25:00,outdoors,grass,35242,86,57,9,True,0,0,False,21.41,19.71,1837,18.06,35.28,1.24,52.78,304.53,318.24,1.06,30.00,117.12,0.71,29.65,59.01,202.18,1.71,0.76,2.71,2.18,0.41,5.76,GNB,0,0,25.59,21.29,1967,21.65,43.19,1.29,56.41,353.65,319.06,0.76,26.12,107.88,0.82,34.29,68.17,259.24,2.18,0.35,2.35,2.12,0.47,4.24,True
2021,NWE,2021-09-12,04:25:00,outdoors,turf,65878,81,58,15,True,0,0,True,26.47,18.53,1845,21.47,44.34,1.24,66.67,351.65,305.82,1.35,28.35,132.56,1.38,32.47,68.28,241.24,1.41,0.82,2.12,1.71,0.35,5.59,MIA,0,0,20.06,21.94,1831,19.12,40.07,1.29,58.33,307.41,337.53,1.53,26.00,92.24,0.71,36.18,65.97,231.53,1.24,0.82,2.82,2.35,0.71,6.18,False
2021,NYG,2021-09-12,04:25:00,outdoors,turf,74119,82,56,19,True,0,0,False,15.18,24.47,1723,17.59,35.59,1.76,43.59,287.29,354.82,1.76,24.65,99.29,0.47,34.88,59.01,203.71,0.88,1.18,2.00,2.24,0.41,5.18,DEN,0,0,19.71,18.94,1848,19.47,37.89,1.65,62.12,330.47,326.12,1.06,26.76,119.12,0.94,31.82,65.64,226.82,1.18,0.53,2.12,2.35,0.35,4.88,False
2021,NYJ,2021-09-12,01:00:00,outdoors,grass,70211,81,51,,False,0,0,False,17.69,30.00,1666,18.38,36.32,1.81,49.52,303.31,395.62,1.62,22.19,100.06,0.81,35.56,57.85,228.88,1.12,1.19,1.62,3.25,0.44,6.06,CAR,0,0,17.25,23.12,1859,18.88,36.01,2.00,30.61,298.44,289.38,1.62,27.00,107.75,1.00,34.88,59.51,210.38,0.81,1.25,2.44,3.00,0.38,6.31,False
2021,PHI,2021-09-12,01:00:00,outdoors,turf,68633,,,,False,0,0,False,25.50,23.11,1785,20.33,44.30,1.50,37.50,358.78,329.94,1.06,31.50,156.11,1.44,29.83,61.78,213.50,1.17,0.67,1.83,1.83,0.22,6.17,ATL,0,0,18.41,27.00,1690,18.00,36.52,1.41,47.92,303.76,364.35,1.53,23.12,85.35,0.65,33.71,65.30,234.53,1.18,0.88,1.06,2.35,0.47,5.41,True
2021,PIT,2021-09-12,01:00:00,outdoors,turf,69787,73,79,17,False,0,0,False,20.60,26.07,1715,18.60,39.39,1.47,46.67,304.80,374.73,1.07,22.67,86.40,0.60,38.27,63.62,234.47,1.47,0.60,3.07,2.53,0.53,6.13,BUF,0,0,29.44,17.00,1901,23.72,48.98,1.22,44.64,387.50,274.94,1.22,27.22,132.39,1.22,37.78,64.05,264.33,2.28,0.89,2.50,1.50,0.61,6.44,True
2021,SEA,2021-09-12,01:00:00,dome,turf,63347,,,,False,0,0,True,23.00,20.67,1531,17.80,37.76,0.73,30.00,320.00,371.20,0.80,24.53,123.53,1.00,28.80,64.81,217.53,1.80,0.47,2.00,2.53,0.33,5.40,IND,0,0,26.62,20.88,1929,20.31,40.13,1.75,63.78,336.75,331.94,1.12,29.56,151.06,1.31,30.38,61.10,199.12,1.56,0.50,1.94,1.88,0.81,4.44,True
2021,SFO,2021-09-12,01:00:00,dome,turf,59374,,,,False,0,0,False,23.89,20.47,1843,20.47,40.00,1.11,54.50,361.42,307.32,1.42,29.63,125.84,1.21,28.79,65.97,246.11,1.37,0.89,2.89,1.68,0.53,6.11,DET,0,0,19.31,28.19,1737,19.50,35.85,2.44,47.31,323.62,379.31,1.44,24.25,103.56,0.62,35.50,67.97,235.62,1.44,0.88,1.88,2.00,0.38,6.06,True
2021,TEN,2021-09-12,01:00:00,outdoors,grass,67216,82,55,8,True,0,0,True,23.62,19.75,1914,19.69,43.13,1.31,69.70,325.81,325.00,1.69,31.31,134.69,1.25,29.38,67.28,207.50,1.38,1.06,3.00,2.38,0.38,5.75,ARI,0,0,25.56,22.22,1852,21.17,41.44,1.72,67.78,363.06,331.78,0.94,28.56,118.72,1.33,34.72,69.94,264.22,1.50,0.72,2.33,2.28,0.78,6.72,False
2021,WAS,2021-09-12,01:00:00,outdoors,grass,52753,81,49,4,True,0,0,True,19.71,25.53,1843,20.29,38.05,1.88,55.22,323.65,359.29,1.41,28.06,121.24,0.76,32.35,64.49,220.35,1.24,0.88,2.24,2.53,0.47,4.82,LAC,0,0,27.88,27.00,1771,23.59,45.10,2.00,70.57,390.24,360.12,1.29,24.88,107.88,1.06,39.65,66.37,294.94,2.24,0.88,2.06,1.82,0.59,6.82,False
2021,BAL,2021-09-13,08:15:00,dome,,61756,,,,False,0,0,False,22.07,22.86,1948,22.00,36.90,1.57,70.00,359.71,359.50,1.43,29.36,135.50,1.14,35.36,63.95,244.14,1.00,1.00,2.21,3.50,0.36,6.07,LVR,0,0,21.83,25.83,1851,20.67,36.02,1.17,69.05,364.94,335.56,1.44,23.78,95.56,0.78,37.89,68.12,284.33,1.33,0.83,2.06,2.39,0.50,7.28,False
2021,LVR,2021-09-13,08:15:00,dome,,61756,,,,True,0,0,False,21.83,25.83,1851,20.67,36.02,1.17,69.05,364.94,335.56,1.44,23.78,95.56,0.78,37.89,68.12,284.33,1.33,0.83,2.06,2.39,0.50,7.28,BAL,0,0,22.07,22.86,1948,22.00,36.90,1.57,70.00,359.71,359.50,1.43,29.36,135.50,1.14,35.36,63.95,244.14,1.00,1.00,2.21,3.50,0.36,6.07,True
2021,NYG,2021-09-16,08:20:00,outdoors,grass,50118,71,94,,False,0,1,False,15.18,24.47,1723,17.59,35.59,1.76,43.59,287.29,354.82,1.76,24.65,99.29,0.47,34.88,59.01,203.71,0.88,1.18,2.00,2.24,0.41,5.18,WAS,0,1,19.71,25.53,1843,20.29,38.05,1.88,55.22,323.65,359.29,1.41,28.06,121.24,0.76,32.35,64.49,220.35,1.24,0.88,2.24,2.53,0.47,4.82,False
2021,WAS,2021-09-16,08:20:00,outdoors,grass,50118,71,94,,True,0,1,True,19.71,25.53,1843,20.29,38.05,1.88,55.22,323.65,359.29,1.41,28.06,121.24,0.76,32.35,64.49,220.35,1.24,0.88,2.24,2.53,0.47,4.82,NYG,0,1,15.18,24.47,1723,17.59,35.59,1.76,43.59,287.29,354.82,1.76,24.65,99.29,0.47,34.88,59.01,203.71,0.88,1.18,2.00,2.24,0.41,5.18,True
2021,ARI,2021-09-19,04:05:00,dome,grass,60115,,,,True,1,0,True,25.56,22.22,1852,21.17,41.44,1.72,67.78,363.06,331.78,0.94,28.56,118.72,1.33,34.72,69.94,264.22,1.50,0.72,2.33,2.28,0.78,6.72,MIN,0,1,24.00,24.07,1745,19.21,35.01,1.29,49.07,348.29,382.14,0.79,26.21,109.57,0.50,34.14,64.43,252.00,1.93,0.50,2.79,1.93,0.43,5.71,True
2021,ATL,2021-09-19,04:05:00,outdoors,grass,63694,85,72,,False,0,1,False,18.41,27.00,1690,18.00,36.52,1.41,47.92,303.76,364.35,1.53,23.12,85.35,0.65,33.71,65.30,234.53,1.18,0.88,1.06,2.35,0.47,5.41,TAM,1,0,29.95,20.95,1822,23.53,44.56,1.11,50.00,400.47,336.95,1.11,22.63,96.26,1.16,43.26,67.12,314.89,2.42,0.68,2.68,1.58,0.89,5.53,False
2021,BAL,2021-09-19,08:20:00,outdoors,grass,70417,82,38,8,True,0,1,False,22.07,22.86,1948,22.00,36.90,1.57,70.00,359.71,359.50,1.43,29.36,135.50,1.14,35.36,63.95,244.14,1.00,1.00,2.21,3.50,0.36,6.07,KAN,1,0,29.00,21.39,1855,24.72,51.85,0.83,62.96,401.33,362.72,1.50,25.17,114.50,0.89,39.72,67.88,296.83,2.39,0.78,1.83,1.72,0.83,6.33,True
2021,BUF,2021-09-19,01:00:00,outdoors,grass,65040,89,59,7,False,0,1,True,29.44,17.00,1901,23.72,48.98,1.22,44.64,387.50,274.94,1.22,27.22,132.39,1.22,37.78,64.05,264.33,2.28,0.89,2.50,1.50,0.61,6.44,MIA,1,0,20.06,21.94,1831,19.12,40.07,1.29,58.33,307.41,337.53,1.53,26.00,92.24,0.71,36.18,65.97,231.53,1.24,0.82,2.82,2.35,0.71,6.18,True
2021,CAR,2021-09-19,01:00:00,outdoors,grass,70675,83,65,4,True,1,0,False,17.25,23.12,1859,18.88,36.01,2.00,30.61,298.44,289.38,1.62,27.00,107.75,1.00,34.88,59.51,210.38,0.81,1.25,2.44,3.00,0.38,6.31,NOR,1,0,21.41,19.71,1837,18.06,35.28,1.24,52.78,304.53,318.24,1.06,30.00,117.12,0.71,29.65,59.01,202.18,1.71,0.76,2.71,2.18,0.41,5.76,True
2021,CHI,2021-09-19,01:00:00,outdoors,grass,60840,80,52,,True,0,1,True,18.29,23.94,1820,19.59,33.35,2.12,40.95,307.35,316.71,1.71,27.94,118.71,0.82,31.88,60.37,213.82,0.94,1.18,2.88,3.41,0.47,6.24,CIN,1,0,27.06,21.00,1872,19.50,42.29,0.94,59.09,354.25,342.38,1.12,24.56,97.00,0.94,32.94,69.31,281.75,2.00,0.81,2.25,3.31,0.50,4.88,True
2021,CIN,2021-09-19,01:00:00,outdoors,grass,60840,80,52,,False,1,0,False,27.06,21.00,1872,19.50,42.29,0.94,59.09,354.25,342.38,1.12,24.56,97.00,0.94,32.94,69.31,281.75,2.00,0.81,2.25,3.31,0.50,4.88,CHI,0,1,18.29,23.94,1820,19.59,33.35,2.12,40.95,307.35,316.71,1.71,27.94,118.71,0.82,31.88,60.37,213.82,0.94,1.18,2.88,3.41,0.47,6.24,False
